,hhid,longitude,latitude,altitude,kebele
18945,DT0102397,37.76218,12.98141,2579,DT01
18946,DT0102398,37.76218,12.98141,2579,DT01
18947,DT0102399,37.76218,12.98141,2579,DT01
18948,DT0102395,37.76129,12.98083,2578,DT01
18949,DT0102394,37.76078,12.9793,2569,DT01
18950,DT0102393,37.76921,12.97921,2567,DT01
18951,DT0102391,37.76083,12.9792,2571,DT01
18952,DT0102392,37.76083,12.9792,2571,DT01
18953,DT0102390,37.76074,12.97941,2568,DT01
18954,DT0102388,37.76113,12.98142,2586,DT01
18955,DT0102389,37.76113,12.98142,2586,DT01
18956,DT0102387,37.76078,12.97894,2573,DT01
18957,DT0102386,37.7581,12.97915,2566,DT01
18958,DT0102385,37.7581,12.97915,2566,DT01
18959,DT0102384,37.7581,12.97915,2566,DT01
18960,DT0102383,37.76208,12.98073,2578,DT01
18961,DT0102382,37.76208,12.98073,2578,DT01
18962,DT0102381,37.76208,12.98073,2578,DT01
18963,DT0102380,37.76168,12.98095,2574,DT01
18964,DT0102379,37.76043,12.98015,2577,DT01
18965,DT0102378,37.76043,12.98015,2577,DT01
18966,DT0102373,37.80089,13.02215,2699,DT01
18967,DT0102369,37.76157,12.97956,2569,DT01
18968,DT0102368,37.76315,12.98147,2871,DT01
18969,DT0102365,37.76278,12.98205,2578,DT01
18970,DT0103308,37.76171,12.98117,2581,DT01
18971,DT0102359,37.76074,12.97941,2568,DT01
18972,DT0102358,37.76063,12.97872,2564,DT01
18973,DT0102357,37.7608,12.97924,2573,DT01
18974,DT0102352,37.765,13.00526,2571,DT01
18975,DT0102353,37.765,13.00526,2571,DT01
18976,DT0102348,37.76125,12.98047,2576,DT01
18977,DT0102349,37.76125,12.98047,2576,DT01
18978,DT0102347,37.76125,12.98047,2576,DT01
18979,DT0102346,37.766235,12.98021,2571,DT01
18980,DT0102344,37.766235,12.98021,2571,DT01
18981,DT0102345,37.766235,12.98021,2571,DT01
18982,DT0102343,37.766235,12.98021,2571,DT01
18983,DT0103232,37.75825,12.97527,2579,DT01
18984,DT0101545,37.76105,12.97967,2578,DT01
18985,DT0102342,37.75956,12.97968,2576,DT01
18986,DT0102341,37.76081,12.97868,2570,DT01
18987,DT0102339,37.76086,12.97867,2570,DT01
18988,DT0102338,37.75621,12.97726,2590,DT01
18989,DT0102337,37.75621,12.97726,2590,DT01
18990,DT0102335,37.76006,12.97872,2570,DT01
18991,DT0102333,37.76006,12.97872,2570,DT01
18992,DT0102334,37.76006,12.97872,2570,DT01
18993,DT0102336,37.76006,12.97872,2570,DT01
