hhid,Q501,Q502,Q503,Q5041,Q5042,Q5043,Q5044,Q5045,Q5045s,Q505,Q506,Q507,Q508,Q509,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q520,Q521,Q522,Q523,Q5231,Q5232,Q5233,Q5234,Q5235,Q5236,Q5236s,Q524,Q525,Q5261,Q5262,Q5263,Q5264,Q5265,Q5266,Q5266s,Q527,Q528,Q529,Q530,Q531
DT0201418,0,,,2,2,2,2,1,from familly,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0400804,4,4,2,1,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,1,30,0,1,2
DT0701120,3,2,1,1,2,2,2,2,,1,2,1,1,1,2,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,2,2,2,2,2,2,,1,2,0,2,
DT0700172,3,3,1,1,1,2,2,2,,1,2,1,2,1,2,1,2,1,2,1,1,2,,2,,2,,2,1,1,2,2,,2,,2,,1,2,2,2,2,2,,1,90,2,2,
DT0600473,4,4,2,1,1,2,2,2,,1,2,1,2,1,2,2,,1,2,1,2,2,,2,,2,,2,2,2,2,1,1,2,,1,3,1,2,2,2,2,2,,1,10,0,2,
DT0900193,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0301226,4,4,1,1,2,2,2,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0600229,9,5,1,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,4,1,2,2,2,2,2,,1,120,0,2,
DT0800470,5,4,1,1,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,,2,,2,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1300750,1,1,1,1,2,2,2,1, from government,1,2,1,2,1,2,1,2,1,2,1,1,2,,2,,2,,2,2,1,2,2,,2,,1,3,2,2,1,2,2,2,,1,30,2,2,
