hhid,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT1200689,2.0,2.0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0300199,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT1000316,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0601248,2.0,2.0,2,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT1200159,2.0,2.0,1,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0102010,1.0,1.0,2,1,2,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100101,1.0,2.0,2,1,2,4,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0900310,1.0,2.0,2,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1200711,2.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,2,0,1,1,0,0.0,0.0
DT0801689,2.0,2.0,2,1,1,3,2,0,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0
DT1300124,2.0,2.0,1,1,1,3,2,0,0,1,1,1,0,1,2,1,0,1,0,0.0,0.0
DT0400175,1.0,2.0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT1201691,2.0,2.0,2,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT1201019,2.0,2.0,1,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0802076,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0200079,1.0,2.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1101113,1.0,2.0,2,1,2,1,3,1,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0300167,1.0,2.0,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT1100214,1.0,2.0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0601232,1.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT1201802,2.0,2.0,1,1,1,3,2,0,0,1,1,0,0,1,1,0,0,1,0,0.0,0.0
DT1200543,2.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT0800991,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1200729,2.0,2.0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT1301090,2.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1300173,2.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0100285,1.0,2.0,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,1,1,0.0,0.0
dt1100625,1.0,1.0,2,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100184,1.0,2.0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0600773,1.0,2.0,2,1,1,3,2,0,1,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0102611,1.0,2.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0102125,1.0,2.0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0400788,1.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
dt1100603,1.0,1.0,2,1,2,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1100925,1.0,2.0,2,1,1,1,3,1,0,0,0,1,0,0,0,1,0,0,1,0.0,0.0
DT0200336,1.0,2.0,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,1.0,0.0
DT0801327,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1300508,2.0,2.0,2,1,1,3,2,0,0,1,1,1,0,1,1,1,0,1,0,0.0,0.0
DT0200587,1.0,2.0,2,1,3,1,2,1,0,1,0,0,0,1,0,0,0,1,1,0.0,0.0
DT0800517,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT1201506,2.0,2.0,1,1,1,3,2,1,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT0100339,1.0,1.0,2,2,1,1,3,0,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0102410,1.0,2.0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0102250,1.0,2.0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0601334,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0200978,1.0,2.0,2,1,2,1,3,1,3,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1100461,1.0,2.0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0200947,1.0,2.0,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0701234,2.0,2.0,1,1,1,3,1,0,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT1100803,1.0,2.0,2,1,1,1,2,1,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0
DT0102665,1.0,2.0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0501293,1.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0501277,1.0,2.0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1100230,1.0,2.0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1000832,1.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0601190,1.0,2.0,2,1,1,3,2,1,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0501006,1.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT1000167,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0500366,1.0,2.0,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT0601113,2.0,2.0,2,1,1,3,2,0,0,1,1,0,0,1,1,0,0,1,0,0.0,0.0
