hhid,hh_members,sex,hh_education,residence,age,altitude,Q401,Q304,Q306,Q307,Q308m,Qsou_inform,Q504,Q5231,Q5232,Q5233,Q5234,Q524,main_occupation,marital_status,Q3098n,Q3099n,Q30910n,Q30911n,food_secured
DT0100181,0,1,4,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,3,0,0,0,0,1
DT0100182,0,0,0,0,2,2,1,1,1,2,0,0,2,1,2,2,2,2,2,4,0,0,0,0,0
DT0100184,0,1,3,0,0,2,1,1,1,1,0,1,2,1,1,2,2,2,1,2,0,0,0,0,0
DT0100185,0,0,4,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,4,0,0,0,1,1
DT0100186,1,1,4,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100187,0,1,2,0,0,2,1,2,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100188,1,1,4,0,0,2,1,1,1,4,1,2,2,2,2,2,2,1,0,1,0,0,0,1,1
DT0100189,0,1,1,0,2,2,1,1,4,3,0,2,4,2,2,2,2,1,2,1,1,1,1,0,1
DT0100190,0,0,4,0,1,2,1,1,1,3,1,1,2,2,2,2,2,2,4,3,0,0,0,0,1
DT0100191,2,0,3,0,0,2,2,1,1,3,0,2,2,1,2,2,2,1,2,0,0,0,0,1,0
DT0100192,1,1,4,0,0,2,1,2,4,4,1,3,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100193,0,0,1,0,2,2,1,1,1,3,1,1,2,2,2,2,2,1,2,4,0,0,1,0,1
DT0100194,0,1,4,0,2,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,1,0,0,1,1
DT0100195,1,0,3,0,0,2,1,1,1,3,1,2,2,2,2,2,2,1,2,1,1,0,0,0,0
DT0100197,0,0,0,0,1,2,1,1,1,3,1,0,2,1,2,2,2,1,3,3,0,0,0,1,0
DT0100199,0,0,0,0,1,2,1,1,1,3,1,0,2,2,2,2,2,2,3,3,0,0,0,0,1
DT0100200,0,0,1,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,2,4,0,0,0,0,0
DT0100201,0,0,1,0,2,2,1,1,1,3,1,0,2,2,2,2,2,2,2,3,0,0,0,0,0
DT0100204,0,0,4,0,0,2,1,1,1,3,1,2,2,1,2,2,2,1,4,0,1,0,0,1,0
DT0100205,0,0,0,0,1,2,1,1,1,3,1,0,2,2,2,2,2,1,2,4,0,0,0,0,0
DT0100206,0,0,0,0,1,2,1,1,1,2,0,1,3,1,1,2,2,2,2,4,0,0,0,1,0
DT0100207,0,0,2,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,4,4,0,0,0,1,1
DT0100209,1,1,2,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,4,1,0,0,1,0,0
DT0100211,0,0,0,0,2,2,1,1,1,3,1,2,2,2,2,2,2,1,2,4,0,0,0,0,0
DT0100213,0,0,0,0,1,2,1,1,1,3,1,0,2,1,2,2,2,2,3,3,0,0,0,0,0
DT0100214,1,0,0,0,0,2,1,1,1,3,1,0,2,2,2,2,2,2,4,4,0,0,0,0,1
DT0100215,1,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,1,0,1,1,1
DT0100217,0,1,3,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100218,0,0,0,0,1,2,1,2,1,3,1,0,2,2,2,2,2,2,3,3,0,0,1,0,1
DT0100219,0,0,0,0,1,2,1,1,1,3,1,2,5,2,2,2,2,1,4,4,0,0,0,0,1
