hhid,longitude,latitude,altitude,kebele
DT1301060,37.89601,12.99058,2,DT13
DT1301059,37.89673,12.99058,2,DT13
DT1301058,37.89733,12.990910000000001,2,DT13
DT1301057,37.89721,12.9909,2,DT13
DT1301056,37.897009999999995,12.99042,2,DT13
DT1301055,37.897,12.99043,2,DT13
DT1301054,37.89721,12.99013,2,DT13
DT1301053,37.89743,12.99013,2,DT13
DT1301052,37.89653,12.99007,2,DT13
DT1301051,37.4549,12.585360000000001,2,DT13
DT1301541,37.8957,12.98971,2,DT13
DT1301050,37.89563,12.98977,2,DT13
DT1301049,37.8955,12.989510000000001,2,DT13
DT1301048,37.89542,12.98928,2,DT13
DT1301047,37.895540000000004,12.989130000000001,2,DT13
DT1301046,37.8951,12.98869,2,DT13
DT1301045,37.89512,12.9888,2,DT13
DT1301044,37.895109999999995,12.98879,1,DT13
DT1301043,37.89407,12.98865,2,DT13
DT1301042,37.89423,12.98863,2,DT13
DT1301041,37.89414,12.988539999999999,2,DT13
DT1301040,37.89465,12.9871,2,DT13
DT1301039,37.89421,12.9871,2,DT13
DT1301038,37.89405,12.987060000000001,2,DT13
DT1301037,37.89428,12.98824,2,DT13
DT1301036,37.894059999999996,12.9883,2,DT13
DT1301035,37.89399,12.988339999999999,2,DT13
DT1301034,37.89881,12.98837,2,DT13
DT1301033,37.89373,12.98841,2,DT13
DT1301032,37.8937,12.98875,2,DT13
DT1301031,37.89236,12.990160000000001,2,DT13
DT1301481,37.892720000000004,12.9901,2,DT13
DT1301030,37.892720000000004,12.990089999999999,2,DT13
DT1301029,37.89293,12.990730000000001,2,DT13
DT1301028,37.89291,12.990730000000001,2,DT13
DT1301026,37.89269,12.99095,2,DT13
DT1301420,37.89277,12.99095,2,DT13
DT1301025,37.89228,12.99036,2,DT13
DT1301024,37.89157,12.99041,2,DT13
DT1301023,37.89165,12.99051,2,DT13
dt1202447,37.907709999999994,12.95185,1,dt12
DT1301022,37.89136,12.99956,2,DT13
DT1301021,37.890859999999996,12.99063,2,DT13
DT1301020,37.89078,12.99006,2,DT13
DT1301019,37.89099,12.9897,2,DT13
DT1301018,37.8909,12.99024,2,DT13
DT1301017,37.89085,12.990219999999999,2,DT13
DT1301016,37.89049,12.990310000000001,2,DT13
DT1301015,37.89046,12.99036,2,DT13
DT1301419,37.889540000000004,12.99035,2,DT13
DT1301014,37.889540000000004,12.99035,2,DT13
DT1301418,37.89056,12.99289,2,DT13
DT1301013,37.89069,12.99289,2,DT13
DT0201576,37.76127,12.984183,2,DT02
DT1301012,37.89069,12.99273,2,DT13
DT1301417,37.890640000000005,12.99275,2,DT13
DT1301011,37.89062,12.9926,2,DT13
DT1301416,37.890609999999995,12.992460000000001,2,DT13
DT1301010,37.89002,12.97178,2,DT13
DT1301009,37.890029999999996,12.99174,2,DT13
DT1301008,37.889790000000005,12.99145,2,DT13
DT1301007,37.889720000000004,12.991539999999999,2,DT13
DT1301006,37.889309999999995,12.99132,2,DT13
DT1301415,37.889070000000004,12.99124,2,DT13
DT1301005,37.889,12.99121,2,DT13
DT1301004,37.888490000000004,12.9906,2,DT13
DT1301003,37.88838,12.99048,2,DT13
DT1301002,37.88836,12.99048,2,DT13
DT1301001,37.88798,12.99005,2,DT13
DT1301000,37.88794,12.98981,2,DT13
DT1300999,37.88762,12.98893,2,DT13
DT1300998,37.8877,12.98902,2,DT13
DT1301484,37.88349,12.99173,2,DT13
DT1300997,37.887440000000005,12.98915,2,DT13
DT1301414,37.88734,12.989130000000001,2,DT13
DT1300996,37.887370000000004,12.98912,2,DT13
DT1300995,37.88834,12.989230000000001,2,DT13
DT1300994,37.888290000000005,12.98883,2,DT13
DT1300993,37.888259999999995,12.9884,2,DT13
DT1300992,37.888000000000005,12.9888,2,DT13
DT1301410,37.88773,12.98813,2,DT13
DT1300991,37.887890000000006,12.98794,2,DT13
DT1300990,37.88799,12.98793,2,DT13
DT1300989,37.88749,12.988389999999999,2,DT13
DT1300988,37.8876,12.987969999999999,2,DT13
DT1301413,37.890859999999996,12.06971,2,DT13
DT1300987,37.88733,12.88008,2,DT13
DT1300986,37.88732,12.988010000000001,2,DT13
DT1300985,37.88746,12.98749,2,DT13
DT1300984,37.88756,12.987680000000001,2,DT13
DT1301545,37.88469,12.99853,2,DT13
DT1300983,37.88697,12.98288,2,DT13
DT1300982,37.8871,12.987630000000001,2,DT13
DT1300981,37.8873,12.987219999999999,2,DT13
DT1300980,37.88689,12.98731,2,DT13
DT1300979,37.886790000000005,12.98697,2,DT13
DT1301409,37.88617,12.98683,2,DT13
DT1301512,37.88601,12.98655,2,DT13
DT1300978,37.88588,12.98672,2,DT13
DT1300977,37.88625,12.986080000000001,2,DT13
DT1300976,37.886140000000005,12.98598,2,DT13
DT1300975,37.88511,12.985660000000001,2,DT13
DT1300974,37.8851,12.985510000000001,2,DT13
DT1300973,37.88497,12.98545,2,DT13
DT1301514,37.88601,12.98179,2,DT13
DT1300972,37.88501,12.985289999999999,2,DT13
DT1300971,37.885529999999996,12.9853,2,DT13
DT1300970,37.88586,12.98541,2,DT13
DT1300969,37.88589,12.985489999999999,2,DT13
DT1300968,37.88615,12.985510000000001,2,DT13
DT1300967,37.886559999999996,12.98552,2,DT13
DT1301384,37.8874,12.98502,2,DT13
DT1300966,37.88731,12.98499,2,DT13
DT1300965,37.88735,12.98514,2,DT13
DT1300964,37.88766,12.98512,2,DT13
DT1301513,37.879540000000006,12.98944,2,DT13
DT1300963,37.8878,12.98495,2,DT13
DT1300962,37.88701,12.98409,2,DT13
DT0401284,37.84233,13.00569,2,DT04
DT1300961,37.88698,12.98393,2,DT13
DT1300960,37.88681,12.98373,2,DT13
DT1300959,37.88664,12.9834,2,DT13
DT1300958,37.88644,12.98364,2,DT13
DT1300957,37.88563,12.98505,2,DT13
DT1301405,37.88524,12.98495,2,DT13
DT1300956,37.88552,12.9849,2,DT13
DT1300955,37.88524,12.98489,2,DT13
DT1300954,37.88487,12.98516,2,DT13
DT1301406,37.88429,12.984539999999999,2,DT13
