hhid,Q4011,Q4012,Q4013,Q4014,Q4015,Q4016,Q4060,Q401,Q406
DT0201009,1,0,0,0,0,0,4,1,2
DT0600396,0,1,0,0,0,0,7,1,2
DT1101181,1,0,0,0,0,0,4,1,2
DT0800858,0,0,0,1,0,0,7,2,2
DT0500927,0,0,0,1,0,0,7,2,2
DT0800861,0,0,0,1,0,0,7,2,2
DT1300984,0,0,0,1,0,0,7,2,2
DT0800863,0,0,0,0,1,0,7,2,2
DT0100810,1,0,0,0,0,0,7,1,2
DT0100082,1,0,0,0,0,0,7,1,2
DT0500890,0,0,0,1,0,0,4,2,2
DT0500943,0,0,0,1,0,0,4,2,2
DT0600970,0,0,0,0,1,0,7,2,2
DT1300068,0,0,0,1,0,0,7,2,2
DT0300341,0,0,0,1,0,0,7,2,2
DT1101266,1,0,0,0,0,0,7,1,2
DT0500243,0,0,0,0,0,1,4,2,2
DT0601324,0,0,0,1,0,0,7,2,2
DT0600874,0,0,1,0,0,0,4,1,2
DT0600306,0,0,1,0,0,0,4,1,2
DT1200241,0,0,0,0,0,1,7,2,2
DT0102057,1,0,0,0,0,0,7,1,2
DT1200713,0,0,0,1,0,0,7,2,2
DT0501044,0,1,0,0,0,0,7,1,2
DT0800888,0,1,0,0,0,0,7,1,2
DT0201159,1,0,0,0,0,0,4,1,2
DT0201291,0,1,0,0,0,0,7,1,2
DT1201856,0,0,0,1,0,0,5,2,2
DT1000722,0,0,1,0,0,0,5,1,2
DT0201193,1,0,0,0,0,0,4,1,2
DT0102465,1,0,0,0,0,0,7,1,2
DT0601395,0,1,0,0,0,0,4,1,2
DT0102367,1,0,0,0,0,0,7,1,2
DT0600338,0,1,0,1,0,0,5,1,2
DT0800792,0,0,0,0,0,1,7,2,2
DT1201430,0,0,0,1,0,0,7,2,2
dt0700546,0,0,0,1,0,1,5,2,2
DT0100994,1,0,0,0,0,0,4,1,2
DT1200086,0,0,0,0,0,1,7,2,2
DT0400041,0,1,0,0,0,0,4,1,2
DT0800913,0,0,0,0,0,1,7,2,2
DT0800646,0,0,0,0,0,1,7,2,2
DT0800233,0,0,0,0,0,1,7,2,2
DT0601217,0,1,0,0,0,0,7,1,2
DT1001165,0,0,0,1,0,0,5,2,2
DT0300286,0,0,0,1,0,0,7,2,2
DT1301214,0,0,0,1,0,0,7,2,2
DT0100428,1,0,0,0,0,0,4,1,2
DT1301269,0,0,0,1,0,0,7,2,2
DT0300573,0,0,0,1,0,0,5,2,2
DT0600696,0,0,0,1,0,0,7,2,2
DT0501305,0,1,0,0,0,0,4,1,2
DT0500261,0,0,0,1,0,0,7,2,2
DT0102298,1,0,0,0,0,0,4,1,2
dt1100668,1,0,0,0,0,1,7,1,2
DT0601391,0,0,0,0,1,0,4,2,2
DT1200519,0,0,0,1,0,0,7,2,2
DT0800916,0,0,0,1,0,0,7,2,2
DT0800943,0,0,0,0,0,1,7,2,2
dt1100555,1,1,0,0,0,0,4,1,2
DT0800947,0,0,0,1,0,0,7,2,2
DT0101298,1,0,1,0,0,0,4,1,2
dt0400687,0,1,0,0,0,0,4,1,2
DT0800310,0,0,0,0,0,1,7,2,2
DT0800349,0,0,0,0,0,1,7,2,2
DT0701237,0,0,0,0,0,1,7,2,2
DT0300477,0,0,0,1,0,0,4,2,2
DT0100324,1,0,0,0,0,0,4,1,2
DT1000997,0,0,1,0,0,0,5,1,2
DT0400958,0,0,0,1,0,0,5,2,2
DT1300270,0,0,0,1,0,0,7,2,2
DT0300439,0,0,0,0,0,1,4,2,2
DT0400798,0,0,0,1,0,0,5,2,2
DT0200681,1,0,0,0,0,0,7,1,2
DT0800964,0,0,0,1,0,1,7,2,2
DT1300440,0,1,0,0,0,0,5,1,2
DT0801488,0,0,0,1,0,0,7,2,2
DT1202209,0,0,0,0,0,1,7,2,2
DT0800969,0,0,0,0,0,1,7,2,2
DT0301060,0,0,0,1,0,0,7,2,2
DT0102516,1,0,0,0,0,0,5,1,2
DT0200792,1,0,0,0,0,0,4,1,2
DT0801198,0,0,0,0,0,1,7,2,2
DT0600068,0,1,0,0,0,0,4,1,2
DT1101166,1,0,0,0,0,0,4,1,2
DT1200062,0,0,0,0,0,1,7,2,2
DT0900715,1,0,0,0,0,0,3,1,1
DT0101062,1,0,0,0,0,0,4,1,2
DT1201515,0,1,0,0,0,0,5,1,2
DT0600084,0,1,0,0,0,0,7,1,2
DT1300568,0,0,0,0,0,1,7,2,2
DT0800988,0,0,0,0,0,1,7,2,2
dt1100646,1,0,0,0,0,0,7,1,2
DT0800990,0,0,0,0,0,1,7,2,2
DT0102557,1,0,0,0,0,0,4,1,2
DT1101013,1,0,0,1,0,0,7,1,2
DT0500745,0,0,1,0,0,0,5,1,2
DT1200530,0,0,0,1,0,0,7,2,2
DT0800996,0,0,0,0,0,1,7,2,2
DT0201335,1,0,0,0,0,0,4,1,2
DT1000970,0,0,0,1,0,0,5,2,2
DT1100327,1,0,0,0,0,0,4,1,2
DT1201386,0,0,0,1,0,0,7,2,2
DT0900144,1,0,0,0,0,0,4,1,2
DT0801006,0,0,0,0,0,1,7,2,2
DT0300825,0,0,1,0,0,0,7,1,2
DT1200293,0,0,0,1,0,0,7,2,2
DT1301273,0,0,0,1,0,0,7,2,2
DT0301202,0,1,0,0,0,0,7,1,2
DT0801011,0,0,0,1,0,0,7,2,2
DT0800229,0,0,0,0,0,1,7,2,2
DT1201781,0,0,0,1,0,0,7,2,2
DT1201123,0,0,0,1,0,0,7,2,2
DT0801018,0,0,0,0,0,1,7,2,2
DT0201136,1,0,0,0,0,0,5,1,2
DT0801020,0,0,0,0,0,1,7,2,2
DT0800854,0,0,0,0,0,1,7,2,2
DT0400914,0,0,0,1,0,0,7,2,2
DT0801718,0,0,0,0,0,1,7,2,2
DT0102430,1,0,0,0,0,0,7,1,2
DT0801025,0,0,0,1,0,0,7,2,2
DT0101701,1,0,0,0,0,0,7,1,2
DT0801027,0,0,0,1,0,0,7,2,2
DT0800997,0,0,0,1,0,0,7,2,2
DT1100095,1,0,0,0,0,0,4,1,2
DT0501229,0,0,0,1,0,0,7,2,2
DT0600176,0,1,0,0,0,0,5,1,2
DT1100243,0,0,0,1,0,0,7,2,2
DT0501178,0,0,1,0,0,0,7,1,2
DT0300769,0,0,0,0,0,1,6,2,2
DT0500892,0,0,1,0,0,0,4,1,2
DT1000819,0,0,1,0,0,0,4,1,2
DT0601129,0,0,0,1,0,0,7,2,2
DT1101270,1,0,0,0,0,0,4,1,2
DT1201339,0,0,0,1,0,0,7,2,2
DT0800635,0,0,0,0,0,1,7,2,2
DT1301158,0,0,0,1,0,0,4,2,2
DT0400857,0,0,0,0,0,1,4,2,2
DT1300397,0,0,0,1,0,0,7,2,2
DT0801058,0,0,0,0,1,0,5,2,2
DT1001268,0,1,0,0,0,0,7,1,2
DT0200293,1,0,0,0,0,0,4,1,2
DT1100143,1,0,0,0,0,0,4,1,2
dt0400660,0,1,0,0,0,0,4,1,2
DT0200777,1,0,0,0,0,0,4,1,2
DT0102231,1,0,0,0,0,0,4,1,2
DT1300552,0,0,0,0,0,1,7,2,2
DT0801069,0,0,0,1,0,0,7,2,2
DT0200361,1,0,0,0,0,0,4,1,2
DT1200567,0,0,0,1,0,0,7,2,2
DT0201467,1,1,0,0,0,0,7,1,2
DT0900635,1,0,0,0,0,0,4,1,2
DT0200756,1,0,0,0,0,0,7,1,2
DT0111222,1,0,0,0,0,0,3,1,1
DT0102578,1,0,0,0,0,0,7,1,2
DT1202150,0,0,0,0,0,1,5,2,2
DT0100797,1,0,0,0,0,0,3,1,1
DT0501059,0,0,0,0,0,1,7,2,2
DT1200643,0,0,0,1,0,0,7,2,2
DT0801089,0,0,0,1,0,0,7,2,2
DT1201035,0,0,0,1,0,0,7,2,2
DT0801092,0,0,0,1,0,0,7,2,2
DT0200123,1,0,0,0,0,0,4,1,2
DT0801095,0,0,0,1,0,0,7,2,2
DT0100662,1,0,0,0,0,0,4,1,2
DT0101888,1,0,0,0,0,0,4,1,2
